Extract words from CC0 audio using https://github.com/Northstrix/bootleg-text-slicer

[La casettina del coniglio](https://www.archive.org/download/avventuredalice_1907_librivox/alicenelpaesemeraviglie_04_carroll_128kb.mp3) from [Le Avventure d'Alice nel Paese delle Meraviglie](https://librivox.org/le-avventure-dalice-nel-paese-delle-meraviglie-by-lewis-carroll/)

---cutTemplate.txt---

# word,start_ms,end_ms,global_m_start,global_m_end,local_m_start,local_m_end,export_path
la casettina del coniglio,30581.9486,31121.9486,-0.0600,0.2000,-0.0700,0.6200,ApprovedWords\la casettina del coniglio_1770035738.wav
coniglio,31341.9486,31881.9486,-0.0600,0.2000,0.1000,-0.1400,ApprovedWords\coniglio_1770035799.wav
bello indietro,36481.9486,36741.9486,-0.0600,0.2000,0.1400,0.4200,ApprovedWords\bello indietro_1770035934.wav
guardando ansiosamente,38201.9486,38881.9486,-0.0600,0.2000,-0.4200,0.0500,ApprovedWords\guardando ansiosamente_1770036003.wav
mormorando fra sè stesso,42961.9486,43401.9486,-0.0600,0.2000,-0.8700,-0.0600,ApprovedWords\mormorando fra sè stesso_1770036123.wav
duchessa,44541.9486,45221.9486,-0.0600,0.2000,0.1100,-0.0500,ApprovedWords\duchessa_1770036210.wav
Oh zampine mie,47961.9486,48421.9486,-0.0600,0.2000,-0.5900,-0.0500,ApprovedWords\Oh zampine mie_1770036252.wav
mi farà impiccare,52241.9486,52381.9486,-0.0590,0.2000,0.0700,0.8600,ApprovedWords\mi farà impiccare_1770036364.wav
caduti,59261.9486,59781.9486,-0.0600,0.2000,0.1400,-0.0600,ApprovedWords\caduti_1770036714.wav
indovinò subito,61821.9486,62381.9486,-0.0600,0.2000,-0.3800,-0.0900,ApprovedWords\indovinò subito_1770036761.wav
guanti bianchi,65561.9486,66201.9486,-0.0600,0.2000,-0.1200,-0.1300,ApprovedWords\guanti bianchi_1770036865.wav
ma fu inutile,71361.9486,71961.9486,-0.0600,0.2000,-0.2500,-0.0700,ApprovedWords\ma fu inutile_1770036932.wav
non si trovarono più,72621.9486,73181.9486,-0.0600,0.2000,-0.1700,0.1100,ApprovedWords\non si trovarono più_1770037003.wav
svaniti totalmente,83121.9486,83601.9486,-0.0600,0.2000,-0.3100,0.2400,ApprovedWords\svaniti totalmente_1770037252.wav
bentosto,84501.9486,85121.9486,-0.0600,0.2000,0.0200,-0.0700,ApprovedWords\bentosto_1770037278.wav
ricerca,88261.9486,88861.9486,-0.0600,0.2000,0.0800,-0.0900,ApprovedWords\ricerca_1770037331.wav
che cosa stai facendo quì QUESTIONMARK,92820.2620,93300.2620,0.0600,0.2000,-0.7700,0.3300,ApprovedWords\che cosa stai facendo quì QUESTIONMARK_1770037655.wav
corri a casa,95360.2620,95640.2620,0.0600,0.2000,-0.0400,0.4200,ApprovedWords\corri a casa_1770037716.wav
casa,95760.2620,96120.2620,0.0600,0.2000,-0.0700,-0.0500,ApprovedWords\casa_1770037747.wav
ventaglio,98120.2620,98720.2620,0.0600,0.2000,-0.0200,-0.1000,ApprovedWords\ventaglio_1770037810.wav
coniglio faceva,110140.2620,110460.2620,0.0600,0.2000,-0.0700,0.4200,ApprovedWords\coniglio faceva_1770037884.wav
faceva,110460.2620,111020.2620,0.0600,0.2000,0.0100,-0.1200,ApprovedWords\faceva_1770037908.wav
cameriera,112860.2620,113440.2620,0.0600,0.2000,-0.0300,-0.0800,ApprovedWords\cameriera_1770037985.wav
trovare,123860.2620,124480.2620,0.0600,0.2000,0.0700,-0.0700,ApprovedWords\trovare_1770038044.wav
casettina,127120.2620,127840.2620,0.0600,0.2000,-0.0100,-0.1200,ApprovedWords\casettina_1770038087.wav
lamina di ottone,132300.2620,132800.2620,0.0600,0.2000,-0.5400,-0.1400,ApprovedWords\lamina di ottone_1770038199.wav
entrò,136200.2620,136720.2620,0.0600,0.2000,-0.0100,-0.1500,ApprovedWords\entrò_1770038242.wav
casa,145640.2620,146040.2620,0.0600,0.2000,0.0400,-0.0900,ApprovedWords\casa_1770038289.wav
curioso,150060.2620,150900.2620,0.0600,0.2000,0.1800,-0.1300,ApprovedWords\curioso_1770038386.wav
servizi,154140.2620,154800.2620,0.0600,0.2000,-0.0500,-0.1000,ApprovedWords\servizi_1770038480.wav
lei,158680.2620,159000.2620,0.0600,0.2000,-0.0500,-0.1400,ApprovedWords\lei_1770038519.wav
fantasticare,160320.2620,161140.2620,0.0600,0.2000,-0.1400,-0.0700,ApprovedWords\fantasticare_1770038590.wav
subito,165340.2620,165860.2620,0.0600,0.2000,-0.0500,-0.0900,ApprovedWords\subito_1770038699.wav
scappi,174531.8226,175051.8226,0.0000,0.0000,-0.0500,0.0400,ApprovedWords\scappi_1770038889.wav
non crederei,176611.8226,177231.8226,0.0000,0.0000,-0.1300,0.1300,ApprovedWords\non crederei_1770038934.wav
ciarlando,185631.8226,186091.8226,0.0000,0.2000,-0.0400,-0.0400,ApprovedWords\ciarlando_1770039027.wav
cameretta assai pulitina,187671.8226,188311.8226,0.0000,0.2000,-0.7300,-0.0800,ApprovedWords\cameretta assai pulitina_1770039100.wav
pulitina,187671.8226,188311.8226,0.0000,0.2000,0.0300,-0.1000,ApprovedWords\pulitina_1770039142.wav
terrazzino,190031.8226,190731.8226,0.0000,0.2000,0.0300,-0.1200,ApprovedWords\terrazzino_1770039169.wav
ventaglio,194451.8226,195091.8226,0.0000,0.2000,0.0200,-0.1900,ApprovedWords\ventaglio_1770039224.wav
guanti,200351.8226,200831.8226,0.0000,0.2000,0.0400,-0.0800,ApprovedWords\guanti_1770039326.wav
specchio,205231.8226,205771.8226,0.0000,0.2000,-0.0300,-0.1300,ApprovedWords\specchio_1770039380.wav
mangio,218291.8226,218831.8226,0.0000,0.2000,0.0400,-0.1500,ApprovedWords\mangio_1770039446.wav
che cosa produrrà questo liquore,222275.7197,222795.7197,0.0000,0.2000,-1.1200,-0.1100,ApprovedWords\che cosa produrrà questo liquore_1770089391.wav
crescere di nuovo,224575.7197,224755.7197,0.0000,0.2000,-0.3100,0.2200,ApprovedWords\crescere di nuovo_1770089613.wav
così piccina,227255.7197,227935.7197,0.0000,0.2000,-0.1300,-0.0900,ApprovedWords\così piccina_1770089671.wav
così accadde,229715.7197,230315.7197,0.0000,0.2000,-0.1900,-0.0500,ApprovedWords\così accadde_1770089810.wav
volta,238035.7197,238415.7197,0.0000,0.2000,0.0000,-0.0500,ApprovedWords\volta_1770089971.wav
contro la volta,238035.7197,238415.7197,0.0000,0.2000,-0.3800,-0.0500,ApprovedWords\contro la volta_1770090011.wav
crescendo,259295.7197,259955.7197,0.0000,0.2000,-0.0300,-0.0700,ApprovedWords\crescendo_1770090364.wav
un altro minuto,264735.7197,265275.7197,0.0000,0.2000,-0.2900,-0.1100,ApprovedWords\un altro minuto_1770090456.wav
capo,270195.7197,270895.7197,0.0000,0.2000,0.0400,-0.4100,ApprovedWords\capo_1770090505.wav
E cresceva ancora,271495.7197,271975.7197,0.0000,0.2000,-0.4600,-0.0600,ApprovedWords\E cresceva ancora_1770090609.wav
disperata,272675.7197,273195.7197,0.0000,0.2000,-0.1300,-0.1000,ApprovedWords\disperata_1770090775.wav
finestra,274835.7197,275575.7197,0.0000,0.2000,0.0750,-0.0800,ApprovedWords\finestra_1770090823.wav
caminetto,276957.0199,277697.0199,0.0000,0.0000,0.0300,-0.0300,ApprovedWords\caminetto_1770091178.wav
Che sarà di me QUESTIONMARK,282277.0199,282397.0199,0.0000,0.1000,0.0300,0.7600,ApprovedWords\Che sarà di me QUESTIONMARK_1770091262.wav
impiccolire,304297.0199,305117.0199,0.0000,0.1000,0.0000,0.0300,ApprovedWords\impiccolire_1770091677.wav
conigli,307157.0199,307797.0199,0.0000,0.1000,0.1100,0.0000,ApprovedWords\conigli_1770091803.wav
discesa nella Conigliera,310977.0199,311677.0199,0.0000,0.1000,-0.5600,-0.0100,ApprovedWords\discesa nella Conigliera_1770091880.wav
vita,315897.0199,316217.0199,0.0000,0.1000,0.0100,0.0200,ApprovedWords\vita_1770092346.wav
che cosa mai son'io addiventata QUESTIONMARK,317557.0199,317997.0199,0.0000,0.1000,-0.1000,1.8000,ApprovedWords\che cosa mai son'io addiventata QUESTIONMARK_1770092472.wav
grande,335417.0199,335837.0199,0.0000,0.1000,0.0200,0.0700,ApprovedWords\grande_1770092597.wav
uno,336717.0199,336997.0199,0.0000,0.1000,0.0100,-0.0200,ApprovedWords\uno_1770092640.wav
ne scriverò uno,336717.0199,336997.0199,0.0000,0.1000,-0.6800,-0.0200,ApprovedWords\ne scriverò uno_1770092714.wav
mestizia,340257.0199,340977.0199,0.0000,0.1000,-0.0500,-0.1000,ApprovedWords\mestizia_1770092803.wav
qui,343511.1774,343831.1774,0.0000,0.1000,0.1500,0.0100,ApprovedWords\qui_1770092940.wav
